token	lang	score
慈しむ	ja	1.0
慈愛	ja	1.0
慈悲	ja	1.0
持ち運べる	ja	1.0
持ち歩ける	ja	1.0
治せる	ja	1.0
耳	ja	1.0
自若	ja	1.0
自若	ja	1.0
自若	ja	1.0
自若	ja	1.0
自信	ja	1.0
自信	ja	1.0
自信	ja	1.0
自信	ja	1.0
自信	ja	1.0
自分	ja	1.0
質感	ja	1.0
質感	ja	1.0
質実	ja	1.0
質実	ja	1.0
質実	ja	1.0
質実	ja	1.0
実直	ja	1.0
実直	ja	1.0
実直	ja	1.0
実直	ja	1.0
実用	ja	1.0
実用	ja	1.0
捨てる	ja	1.0
捨てる	ja	1.0
酌み交わせ	ja	1.0
若々しい	ja	1.0
若い	ja	1.0
若若しい	ja	1.0
取り扱い	ja	1.0
取り回し	ja	1.0
取り消す	ja	1.0
取り消す	ja	1.0
取り消せる	ja	1.0
取り替える	ja	1.0
取り替える	ja	1.0
取る	ja	1.0
取る	ja	1.0
取消せ	ja	1.0
守る	ja	1.0
守る	ja	1.0
手がたい	ja	1.0
手がるい	ja	1.0
手ごたえ	ja	1.0
手ごろ	ja	1.0
手ごろ	ja	1.0
手っとり早い	ja	1.0
手っ取り早い	ja	1.0
手ばやい	ja	1.0
手びろい	ja	1.0
手軽い	ja	1.0
手堅い	ja	1.0
手厚い	ja	1.0
手広い	ja	1.0
手早い	ja	1.0
手速い	ja	1.0
手抜かり	ja	1.0
手抜かり	ja	1.0
趣	ja	1.0
受け取る	ja	1.0
受け取る	ja	1.0
秀でる	ja	1.0
秀悦	ja	1.0
秀麗	ja	1.0
秀麗	ja	1.0
終える	ja	1.0
終える	ja	1.0
住む	ja	1.0
住む	ja	1.0
住める	ja	1.0
充溢	ja	1.0
充分	ja	1.0
充分	ja	1.0
十	ja	1.0
十分	ja	1.0
十分	ja	1.0
柔かい	ja	1.0
柔らか	ja	1.0
柔らか	ja	1.0
柔らかい	ja	1.0
俊敏	ja	1.0
俊敏	ja	1.0
俊敏	ja	1.0
俊敏	ja	1.0
純良	ja	1.0
純良	ja	1.0
純良	ja	1.0
純良	ja	1.0
順応	ja	1.0
庶民	ja	1.0
庶民	ja	1.0
女らしい	ja	1.0
勝る	ja	1.0
勝れる	ja	1.0
奨め	ja	1.0
奨め	ja	1.0
奨め	ja	1.0
奨め	ja	1.0
奨める	ja	1.0
小	ja	1.0
小	ja	1.0
小ぎれい	ja	1.0
小ぎれい	ja	1.0
小意気	ja	1.0
小意気	ja	1.0
小器用	ja	1.0
小器用	ja	1.0
小器用	ja	1.0
小器用	ja	1.0
小気味	ja	1.0
小気味よい	ja	1.0
小才	ja	1.0
小躍り	ja	1.0
床しい	ja	1.0
消す	ja	1.0
消す	ja	1.0
消せる	ja	1.0
省く	ja	1.0
省く	ja	1.0
省ける	ja	1.0
賞賛	ja	1.0
賞嘆	ja	1.0
上々	ja	1.0
上々	ja	1.0
上位	ja	1.0
上位	ja	1.0
上位	ja	1.0
上位	ja	1.0
上級	ja	1.0
上級	ja	1.0
上級	ja	1.0
上級	ja	1.0
上向く	ja	1.0
上根	ja	1.0
上手い	ja	1.0
上出来	ja	1.0
上出来	ja	1.0
上上吉	ja	1.0
上上吉	ja	1.0
上上吉	ja	1.0
上上吉	ja	1.0
上等	ja	1.0
上等	ja	1.0
上等	ja	1.0
上等	ja	1.0
情	ja	1.0
情け深い	ja	1.0
情深い	ja	1.0
拭く	ja	1.0
拭く	ja	1.0
拭ける	ja	1.0
殖やす	ja	1.0
殖やす	ja	1.0
殖やせる	ja	1.0
色	ja	1.0
色	ja	1.0
色っぽい	ja	1.0
色気	ja	1.0
伸ばす	ja	1.0
伸ばす	ja	1.0
伸ばせる	ja	1.0
伸び	ja	1.0
伸び伸び	ja	1.0
心	ja	1.0
心づよい	ja	1.0
心安い	ja	1.0
心温まる	ja	1.0
心掛ける	ja	1.0
心強い	ja	1.0
心丈夫	ja	1.0
心丈夫	ja	1.0
心憎い	ja	1.0
心地	ja	1.0
心地よい	ja	1.0
心地好い	ja	1.0
心置き	ja	1.0
慎ましい	ja	1.0
慎む	ja	1.0
新規	ja	1.0
深遠	ja	1.0
深遠	ja	1.0
深奥	ja	1.0
深奥	ja	1.0
深奥	ja	1.0
深奥	ja	1.0
深切	ja	1.0
深切	ja	1.0
申し込む	ja	1.0
申し込む	ja	1.0
申し込める	ja	1.0
申込む	ja	1.0
申込む	ja	1.0
申込め	ja	1.0
真っ正直	ja	1.0
真っ正直	ja	1.0
真新しい	ja	1.0
神々しい	ja	1.0
神神しい	ja	1.0
紳士	ja	1.0
紳士	ja	1.0
親しい	ja	1.0
親しみ	ja	1.0
身	ja	1.0
身ぎれい	ja	1.0
身ぎれい	ja	1.0
辛	ja	1.0
辛抱	ja	1.0
辛抱強い	ja	1.0
人	ja	1.0
人	ja	1.0
人懐っこい	ja	1.0
人気	ja	1.0
人情	ja	1.0
人目	ja	1.0
尋常	ja	1.0
尋常	ja	1.0
水際立つ	ja	1.0
粋人	ja	1.0
粋人	ja	1.0
粋人	ja	1.0
粋人	ja	1.0
酔える	ja	1.0
瑞々しい	ja	1.0
瑞瑞しい	ja	1.0
崇高	ja	1.0
崇高	ja	1.0
数少ない	ja	1.0
澄ん	ja	1.0
澄明	ja	1.0
澄明	ja	1.0
澄明	ja	1.0
澄明	ja	1.0
世界	ja	1.0
世界	ja	1.0
世界	ja	1.0
世界	ja	1.0
世話	ja	1.0
世話好き	ja	1.0
世話好き	ja	1.0
世話好き	ja	1.0
世話好き	ja	1.0
勢い	ja	1.0
整然	ja	1.0
整然	ja	1.0
整然	ja	1.0
整然と	ja	1.0
正正堂堂	ja	1.0
正正堂堂	ja	1.0
正正堂堂	ja	1.0
正正堂堂	ja	1.0
正善	ja	1.0
正統	ja	1.0
清々	ja	1.0
清々しい	ja	1.0
清い	ja	1.0
清新	ja	1.0
清新	ja	1.0
清清	ja	1.0
清清しい	ja	1.0
清爽	ja	1.0
清爽	ja	1.0
清爽	ja	1.0
清爽	ja	1.0
清廉	ja	1.0
清廉	ja	1.0
清廉	ja	1.0
清廉	ja	1.0
清廉	ja	1.0
清廉	ja	1.0
生	ja	1.0
生き生き	ja	1.0
盛りあがる	ja	1.0
盛り上がる	ja	1.0
盛栄	ja	1.0
盛栄	ja	1.0
盛栄	ja	1.0
盛栄	ja	1.0
精しい	ja	1.0
精細	ja	1.0
精細	ja	1.0
精細	ja	1.0
精細	ja	1.0
精良	ja	1.0
精良	ja	1.0
精悍	ja	1.0
精悍	ja	1.0
誠意	ja	1.0
静謐	ja	1.0
静謐	ja	1.0
積み込める	ja	1.0
積める	ja	1.0
積極	ja	1.0
積極	ja	1.0
絶大	ja	1.0
絶大	ja	1.0
絶品	ja	1.0
絶品	ja	1.0
絶品	ja	1.0
絶品	ja	1.0
先鋭	ja	1.0
先鋭	ja	1.0
先駆	ja	1.0
先駆	ja	1.0
先進	ja	1.0
先進	ja	1.0
尖鋭	ja	1.0
尖鋭	ja	1.0
尖鋭	ja	1.0
尖鋭	ja	1.0
洗い流せる	ja	1.0
洗う	ja	1.0
洗う	ja	1.0
洗える	ja	1.0
洗練	ja	1.0
薦める	ja	1.0
選ぶ	ja	1.0
選ぶ	ja	1.0
選べる	ja	1.0
鮮鋭	ja	1.0
鮮鋭	ja	1.0
鮮鋭	ja	1.0
鮮鋭	ja	1.0
善良	ja	1.0
善良	ja	1.0
善良	ja	1.0
善良	ja	1.0
楚々たる	ja	1.0
楚楚	ja	1.0
楚楚	ja	1.0
楚楚	ja	1.0
楚楚	ja	1.0
素晴らしい	ja	1.0
素早い	ja	1.0
訴える	ja	1.0
訴える	ja	1.0
壮大	ja	1.0
壮大	ja	1.0
壮麗	ja	1.0
壮麗	ja	1.0
掃ける	ja	1.0
操る	ja	1.0
操る	ja	1.0
操る	ja	1.0
相応	ja	1.0
相応	ja	1.0
相応しい	ja	1.0
聡明	ja	1.0
蒼古	ja	1.0
蒼古	ja	1.0
蒼古	ja	1.0
蒼古	ja	1.0
蒼茫	ja	1.0
蒼茫	ja	1.0
蒼茫	ja	1.0
蒼茫	ja	1.0
走り	ja	1.0
走り	ja	1.0
走る	ja	1.0
走る	ja	1.0
増やす	ja	1.0
増やす	ja	1.0
増やせる	ja	1.0
憎め	ja	1.0
造作	ja	1.0
造作	ja	1.0
捉える	ja	1.0
捉える	ja	1.0
存在	ja	1.0
尊い	ja	1.0
尊大	ja	1.0
尊大	ja	1.0
損	ja	1.0
多才	ja	1.0
多才	ja	1.0
多才	ja	1.0
多才	ja	1.0
多士	ja	1.0
多士	ja	1.0
多士	ja	1.0
多士	ja	1.0
多能	ja	1.0
多能	ja	1.0
多能	ja	1.0
多能	ja	1.0
多望	ja	1.0
多望	ja	1.0
泰山	ja	1.0
泰山	ja	1.0
泰山	ja	1.0
泰山	ja	1.0
泰然	ja	1.0
泰然	ja	1.0
泰然	ja	1.0
泰然	ja	1.0
大	ja	1.0
大いなる	ja	1.0
大業	ja	1.0
大業	ja	1.0
大業	ja	1.0
大業	ja	1.0
大人	ja	1.0
大人しい	ja	1.0
鷹揚	ja	1.0
鷹揚	ja	1.0
卓越	ja	1.0
卓出	ja	1.0
卓絶	ja	1.0
単簡	ja	1.0
単簡	ja	1.0
単簡	ja	1.0
単簡	ja	1.0
単品	ja	1.0
探す	ja	1.0
探す	ja	1.0
探せる	ja	1.0
端正	ja	1.0
端正	ja	1.0
端麗	ja	1.0
端麗	ja	1.0
胆	ja	1.0
暖か	ja	1.0
暖か	ja	1.0
暖かい	ja	1.0
暖まる	ja	1.0
男々しい	ja	1.0
男らしい	ja	1.0
男性	ja	1.0
男性	ja	1.0
値する	ja	1.0
知る	ja	1.0
知性	ja	1.0
知性	ja	1.0
稚い	ja	1.0
着く	ja	1.0
着く	ja	1.0
注げる	ja	1.0
張り	ja	1.0
眺める	ja	1.0
眺める	ja	1.0
調子	ja	1.0
超越	ja	1.0
超凡	ja	1.0
超凡	ja	1.0
超凡	ja	1.0
超凡	ja	1.0
長ける	ja	1.0
沈毅	ja	1.0
沈毅	ja	1.0
珍しい	ja	1.0
追加	ja	1.0
通う	ja	1.0
通う	ja	1.0
通える	ja	1.0
通り	ja	1.0
釣り合う	ja	1.0
釣合う	ja	1.0
停める	ja	1.0
停める	ja	1.0
定か	ja	1.0
定か	ja	1.0
定評	ja	1.0
程よい	ja	1.0
諦め	ja	1.0
諦め	ja	1.0
鄭重	ja	1.0
鄭重	ja	1.0
鄭重	ja	1.0
鄭重	ja	1.0
擢んでる	ja	1.0
敵	ja	1.0
敵	ja	1.0
適し	ja	1.0
適する	ja	1.0
適応	ja	1.0
適格	ja	1.0
適格	ja	1.0
適格	ja	1.0
適格	ja	1.0
適宜	ja	1.0
適宜	ja	1.0
典雅	ja	1.0
典雅	ja	1.0
天空海闊	ja	1.0
天空海闊	ja	1.0
天空海闊	ja	1.0
天空海闊	ja	1.0
渡る	ja	1.0
渡る	ja	1.0
登る	ja	1.0
登る	ja	1.0
都雅	ja	1.0
都雅	ja	1.0
都会	ja	1.0
都会	ja	1.0
陶然	ja	1.0
陶然	ja	1.0
陶然	ja	1.0
陶然	ja	1.0
頭	ja	1.0
頭	ja	1.0
堂々	ja	1.0
堂々	ja	1.0
堂々	ja	1.0
堂々	ja	1.0
堂々たる	ja	1.0
堂堂	ja	1.0
堂堂	ja	1.0
堂堂	ja	1.0
堂堂	ja	1.0
得意満面	ja	1.0
得意満面	ja	1.0
得意満面	ja	1.0
得意満面	ja	1.0
得難い	ja	1.0
特別	ja	1.0
特別	ja	1.0
篤い	ja	1.0
篤実	ja	1.0
篤実	ja	1.0
独創	ja	1.0
独創	ja	1.0
独創	ja	1.0
独特	ja	1.0
独特	ja	1.0
馴染む	ja	1.0
馴染める	ja	1.0
軟かい	ja	1.0
軟らか	ja	1.0
軟らか	ja	1.0
軟らかい	ja	1.0
難	ja	1.0
賑わしい	ja	1.0
入り	ja	1.0
入る	ja	1.0
入る	ja	1.0
入魂	ja	1.0
入魂	ja	1.0
入魂	ja	1.0
入魂	ja	1.0
如才	ja	1.0
如才	ja	1.0
任せる	ja	1.0
任せる	ja	1.0
認める	ja	1.0
熱望	ja	1.0
熱烈	ja	1.0
熱烈	ja	1.0
燃やす	ja	1.0
燃やす	ja	1.0
燃やせる	ja	1.0
粘り強い	ja	1.0
濃やか	ja	1.0
濃やか	ja	1.0
濃密	ja	1.0
濃密	ja	1.0
納まる	ja	1.0
能	ja	1.0
能	ja	1.0
能力	ja	1.0
覗ける	ja	1.0
派手やか	ja	1.0
派手やか	ja	1.0
破竹	ja	1.0
破竹	ja	1.0
破竹	ja	1.0
破竹	ja	1.0
馬力	ja	1.0
廃り	ja	1.0
買い得	ja	1.0
買い得	ja	1.0
買い得	ja	1.0
買い得	ja	1.0
売れ	ja	1.0
剥が	ja	1.0
剥がす	ja	1.0
剥がす	ja	1.0
剥く	ja	1.0
剥く	ja	1.0
剥せる	ja	1.0
白眉	ja	1.0
白眉	ja	1.0
白眉	ja	1.0
白眉	ja	1.0
迫力	ja	1.0
抜きんでる	ja	1.0
抜け目	ja	1.0
抜け目	ja	1.0
抜け目	ja	1.0
抜け目	ja	1.0
盤石	ja	1.0
盤石	ja	1.0
盤石	ja	1.0
盤石	ja	1.0
比べる	ja	1.0
比べる	ja	1.0
疲れ	ja	1.0
疲れ	ja	1.0
非の打ち所	ja	1.0
非の打ち所	ja	1.0
非の打ち所	ja	1.0
非の打ち所	ja	1.0
飛び抜ける	ja	1.0
備わる	ja	1.0
微笑ましい	ja	1.0
美々しい	ja	1.0
美しい	ja	1.0
美事	ja	1.0
美事	ja	1.0
美事	ja	1.0
美事	ja	1.0
美味い	ja	1.0
美味しい	ja	1.0
鼻	ja	1.0
百花繚乱	ja	1.0
百花繚乱	ja	1.0
百花繚乱	ja	1.0
百花繚乱	ja	1.0
百戦錬磨	ja	1.0
百戦錬磨	ja	1.0
百戦錬磨	ja	1.0
百戦錬磨	ja	1.0
品	ja	1.0
品	ja	1.0
品行	ja	1.0
品行	ja	1.0
品行	ja	1.0
品行	ja	1.0
敏い	ja	1.0
敏活	ja	1.0
敏活	ja	1.0
不抜	ja	1.0
不抜	ja	1.0
不抜	ja	1.0
不抜	ja	1.0
不撓	ja	1.0
不撓	ja	1.0
不撓	ja	1.0
不撓	ja	1.0
富有	ja	1.0
富有	ja	1.0
富有	ja	1.0
富有	ja	1.0
富裕	ja	1.0
富裕	ja	1.0
風雅	ja	1.0
風雅	ja	1.0
風流	ja	1.0
風靡	ja	1.0
幅利き	ja	1.0
幅利き	ja	1.0
幅利き	ja	1.0
幅利き	ja	1.0
福福しい	ja	1.0
腹	ja	1.0
腹	ja	1.0
腹太	ja	1.0
沸	ja	1.0
沸	ja	1.0
沸か	ja	1.0
沸かす	ja	1.0
沸かす	ja	1.0
物わかり	ja	1.0
物わかり	ja	1.0
物堅い	ja	1.0
物知り	ja	1.0
物知り	ja	1.0
物知り	ja	1.0
物知り	ja	1.0
分	ja	1.0
分	ja	1.0
分かる	ja	1.0
分相応	ja	1.0
分相応	ja	1.0
聞く	ja	1.0
平滑	ja	1.0
平滑	ja	1.0
平滑	ja	1.0
平滑	ja	1.0
平気	ja	1.0
平気	ja	1.0
平気	ja	1.0
平気	ja	1.0
平均	ja	1.0
平然	ja	1.0
平然	ja	1.0
平然	ja	1.0
平然たる	ja	1.0
平然と	ja	1.0
並外れる	ja	1.0
癖	ja	1.0
別格	ja	1.0
別格	ja	1.0
別格	ja	1.0
別格	ja	1.0
別懇	ja	1.0
別懇	ja	1.0
別嬪	ja	1.0
別嬪	ja	1.0
別嬪	ja	1.0
別嬪	ja	1.0
補う	ja	1.0
補う	ja	1.0
補える	ja	1.0
慕わしい	ja	1.0
崩れ	ja	1.0
方正	ja	1.0
方正	ja	1.0
芳しい	ja	1.0
豊潤	ja	1.0
豊潤	ja	1.0
豊潤	ja	1.0
豊潤	ja	1.0
豊満	ja	1.0
豊満	ja	1.0
飽き	ja	1.0
飽き	ja	1.0
飽き	ja	1.0
望ましい	ja	1.0
望む	ja	1.0
防ぐ	ja	1.0
防ぐ	ja	1.0
防ぐ	ja	1.0
防げる	ja	1.0
睦まじい	ja	1.0
磨く	ja	1.0
磨く	ja	1.0
磨ける	ja	1.0
末	ja	1.0
末頼もしい	ja	1.0
万鈞	ja	1.0
万鈞	ja	1.0
万鈞	ja	1.0
万鈞	ja	1.0
満	ja	1.0
満	ja	1.0
満た	ja	1.0
満ち	ja	1.0
満ち	ja	1.0
満ち足りる	ja	1.0
満足	ja	1.0
満足	ja	1.0
味	ja	1.0
味わい深い	ja	1.0
味わえる	ja	1.0
魅する	ja	1.0
魅せる	ja	1.0
魅力	ja	1.0
魅力	ja	1.0
魅力	ja	1.0
魅惑	ja	1.0
魅惑	ja	1.0
脈	ja	1.0
夢	ja	1.0
夢心地	ja	1.0
夢心地	ja	1.0
夢心地	ja	1.0
夢心地	ja	1.0
無尽蔵	ja	1.0
無尽蔵	ja	1.0
無疵	ja	1.0
無疵	ja	1.0
名	ja	1.0
名	ja	1.0
名	ja	1.0
名うて	ja	1.0
名だたる	ja	1.0
名高い	ja	1.0
名車	ja	1.0
名車	ja	1.0
名車	ja	1.0
名車	ja	1.0
名誉	ja	1.0
明けっ広げ	ja	1.0
明けっ広げ	ja	1.0
明けっ広げ	ja	1.0
明けっ広げ	ja	1.0
明りょう	ja	1.0
明りょう	ja	1.0
明るい	ja	1.0
明達	ja	1.0
明達	ja	1.0
明達	ja	1.0
明達	ja	1.0
明哲	ja	1.0
明哲	ja	1.0
明哲	ja	1.0
明哲	ja	1.0
明敏	ja	1.0
明敏	ja	1.0
明敏	ja	1.0
鳴ら	ja	1.0
鳴らす	ja	1.0
鳴らす	ja	1.0
面白	ja	1.0
面白	ja	1.0
面白い	ja	1.0
猛勇	ja	1.0
猛勇	ja	1.0
猛勇	ja	1.0
猛勇	ja	1.0
儲ける	ja	1.0
儲ける	ja	1.0
目	ja	1.0
目	ja	1.0
目	ja	1.0
目	ja	1.0
目映い	ja	1.0
目指す	ja	1.0
目指す	ja	1.0
目指せ	ja	1.0
目出度い	ja	1.0
目新しい	ja	1.0
目抜き	ja	1.0
目抜き	ja	1.0
目抜き	ja	1.0
目抜き	ja	1.0
目立つ	ja	1.0
問題	ja	1.0
役だつ	ja	1.0
役に立つ	ja	1.0
役立つ	ja	1.0
訳	ja	1.0
愉しい	ja	1.0
癒す	ja	1.0
優れる	ja	1.0
優れる	ja	1.0
優生	ja	1.0
優生	ja	1.0
優生	ja	1.0
優生	ja	1.0
優先	ja	1.0
優先	ja	1.0
優等生	ja	1.0
優等生	ja	1.0
優等生	ja	1.0
優等生	ja	1.0
優等生	ja	1.0
優等生	ja	1.0
優良	ja	1.0
優良	ja	1.0
優良	ja	1.0
優良	ja	1.0
優婉	ja	1.0
優婉	ja	1.0
勇ましい	ja	1.0
勇壮	ja	1.0
勇壮	ja	1.0
勇壮	ja	1.0
勇壮	ja	1.0
悠然	ja	1.0
悠然	ja	1.0
悠然	ja	1.0
悠然と	ja	1.0
悠長	ja	1.0
悠長	ja	1.0
悠悠	ja	1.0
悠悠	ja	1.0
悠悠	ja	1.0
悠悠	ja	1.0
有り難い	ja	1.0
有り余る	ja	1.0
有難い	ja	1.0
有能	ja	1.0
有能	ja	1.0
有能	ja	1.0
有能	ja	1.0
遊ぶ	ja	1.0
遊ぶ	ja	1.0
遊べる	ja	1.0
雄々しい	ja	1.0
雄偉	ja	1.0
雄偉	ja	1.0
雄偉	ja	1.0
雄偉	ja	1.0
雄雄しい	ja	1.0
雄勁	ja	1.0
雄勁	ja	1.0
雄勁	ja	1.0
雄勁	ja	1.0
雄渾	ja	1.0
雄渾	ja	1.0
余裕	ja	1.0
余裕	ja	1.0
余裕綽綽	ja	1.0
余裕綽綽	ja	1.0
余裕綽綽	ja	1.0
余裕綽綽	ja	1.0
誉める	ja	1.0
預ける	ja	1.0
預ける	ja	1.0
幼	ja	1.0
妖艶	ja	1.0
妖艶	ja	1.0
容易い	ja	1.0
揺るぎない	ja	1.0
溶かせる	ja	1.0
用いる	ja	1.0
用いる	ja	1.0
用意	ja	1.0
用意	ja	1.0
欲	ja	1.0
欲張る	ja	1.0
浴びる	ja	1.0
浴びる	ja	1.0
頼もしい	ja	1.0
落ち着き払っ	ja	1.0
利く	ja	1.0
利す	ja	1.0
利口	ja	1.0
利口	ja	1.0
利口	ja	1.0
利口	ja	1.0
理性	ja	1.0
理性	ja	1.0
理想	ja	1.0
理想	ja	1.0
理想	ja	1.0
裏切る	ja	1.0
律儀	ja	1.0
律儀	ja	1.0
律儀	ja	1.0
律儀	ja	1.0
流す	ja	1.0
流す	ja	1.0
流せる	ja	1.0
流行	ja	1.0
流行る	ja	1.0
流石	ja	1.0
流石	ja	1.0
流石	ja	1.0
流用	ja	1.0
流麗	ja	1.0
流麗	ja	1.0
溜飲	ja	1.0
粒ぞろい	ja	1.0
粒ぞろい	ja	1.0
粒ぞろい	ja	1.0
粒ぞろい	ja	1.0
凌ぐ	ja	1.0
凌駕	ja	1.0
涼しい	ja	1.0
涼やか	ja	1.0
涼やか	ja	1.0
良い	ja	1.0
良い	ja	1.0
良識	ja	1.0
良識	ja	1.0
良心	ja	1.0
良心	ja	1.0
力強い	ja	1.0
力持ち	ja	1.0
力持ち	ja	1.0
力持ち	ja	1.0
力持ち	ja	1.0
涙ぐましい	ja	1.0
冷やす	ja	1.0
冷やす	ja	1.0
冷やせる	ja	1.0
怜悧	ja	1.0
怜悧	ja	1.0
玲瓏	ja	1.0
玲瓏	ja	1.0
玲瓏	ja	1.0
玲瓏	ja	1.0
麗しい	ja	1.0
歴々	ja	1.0
歴々	ja	1.0
歴々	ja	1.0
歴々	ja	1.0
歴然たる	ja	1.0
廉潔	ja	1.0
廉潔	ja	1.0
廉潔	ja	1.0
廉潔	ja	1.0
廉直	ja	1.0
廉直	ja	1.0
朗らか	ja	1.0
朗らか	ja	1.0
和らぐ	ja	1.0
和らげる	ja	1.0
話す	ja	1.0
話す	ja	1.0
腕	ja	1.0
腕	ja	1.0
腕きき	ja	1.0
腕きき	ja	1.0
腕きき	ja	1.0
腕きき	ja	1.0
凛々しい	ja	1.0
凛と	ja	1.0
凛乎	ja	1.0
凛乎	ja	1.0
凛乎	ja	1.0
凛乎	ja	1.0
凛然	ja	1.0
凛然	ja	1.0
凛然	ja	1.0
凛然	ja	1.0
凛凛	ja	1.0
凛凛	ja	1.0
凛凛	ja	1.0
凛凛	ja	1.0
剴切	ja	1.0
剴切	ja	1.0
屁の河童	ja	1.0
屁の河童	ja	1.0
屁の河童	ja	1.0
屁の河童	ja	1.0
慥か	ja	1.0
慥か	ja	1.0
昵懇	ja	1.0
昵懇	ja	1.0
昵懇	ja	1.0
昵懇	ja	1.0
洒々落々	ja	1.0
洒々落々	ja	1.0
洒々落々	ja	1.0
洒々落々	ja	1.0
洒落る	ja	1.0
瀟洒	ja	1.0
瀟洒	ja	1.0
炯眼	ja	1.0
炯眼	ja	1.0
煌煌	ja	1.0
煌煌	ja	1.0
煌煌	ja	1.0
煌煌	ja	1.0
爛漫	ja	1.0
爛漫	ja	1.0
爛漫	ja	1.0
爛漫	ja	1.0
甦生	ja	1.0
痒い	ja	1.0
薔薇色	ja	1.0
薔薇色	ja	1.0
薔薇色	ja	1.0
薔薇色	ja	1.0
讚える	ja	1.0
逞しい	ja	1.0
鑽仰	ja	1.0
闊達	ja	1.0
闊達	ja	1.0
鞏固	ja	1.0
鞏固	ja	1.0
颯爽	ja	1.0
颯爽	ja	1.0
颯爽	ja	1.0
颯爽	ja	1.0
"""２，３日"""	ja	0.0
10%	ja	0.0
100%	ja	0.0
25%	ja	0.0
80%	ja	0.0
１０カ月	ja	0.0
１０時間	ja	0.0
１０数年	ja	0.0
１０年以上	ja	0.0
１０年近く	ja	0.0
１１ヶ月	ja	0.0
１１年	ja	0.0
１２年	ja	0.0
１３年	ja	0.0
１４年	ja	0.0
１５秒	ja	0.0
１６年	ja	0.0
１７年	ja	0.0
１９年	ja	0.0
１バイト	ja	0.0
１位	ja	1.0
１割	ja	0.0
１時間以上	ja	0.0
１時間以内	ja	0.0
１時間半	ja	0.0
１周年記念	ja	1.0
１週間以上	ja	0.0
１勝	ja	1.0
１体	ja	0.0
１通	ja	0.0
１日分	ja	0.0
１年近く	ja	0.0
１番	ja	1.0
１品	ja	0.0
１文	ja	0.0
２０年以上	ja	0.0
２０年近く	ja	0.0
２３時間	ja	0.0
２か月	ja	0.0
２ヵ月	ja	0.0
２位	ja	0.0
２階席	ja	0.0
２件目	ja	0.0
２時間	ja	0.0
２時間以上	ja	0.0
２時間半	ja	0.0
２次感染	ja	-1.0
２失点	ja	-1.0
２勝１敗	ja	0.0
２択	ja	0.0
２日	ja	0.0
２年近く	ja	0.0
２年半	ja	0.0
３０分位	ja	0.0
３０分程度	ja	0.0
３４年	ja	0.0
３５年	ja	0.0
３９歳	ja	0.0
３Ｒ	ja	0.0
３か月	ja	0.0
３タテ	ja	0.0
３チーム	ja	0.0
３位	ja	0.0
３回連続	ja	0.0
３割負担	ja	0.0
３週間	ja	0.0
３酔い	ja	0.0
３連打	ja	0.0
３連敗	ja	-1.0
４か月	ja	0.0
４回目	ja	0.0
４時間	ja	0.0
４日	ja	0.0
４年	ja	0.0
５０日	ja	0.0
５０年以上	ja	0.0
６００円	ja	0.0
６年	ja	0.0
７ヶ月	ja	0.0
７年	ja	0.0
７番	ja	0.0
８カ月	ja	0.0
８ヶ月	ja	0.0
８割	ja	0.0
９ヶ月	ja	0.0
９年	ja	0.0
９番	ja	0.0
ＡＤ	ja	0.0
ＡＩＤＳ	ja	-1.0
ＡＴフィールド	ja	1.0
Ａｍａｚｏｎ	ja	0.0
Ａ型肝炎	ja	-1.0
ＢＢＣ	ja	0.0
ＢＩＧ	ja	1.0
ＢＯＴ	ja	-1.0
ＢＳＥ	ja	-1.0
ＣＤ	ja	0.0
ＣＮＮ	ja	0.0
Ｃ型肝炎	ja	-1.0
ＤＶ	ja	-1.0
ＤＶＤ化	ja	0.0
ＤｏＳ	ja	0.0
ＥＤ	ja	-1.0
ＥＳ	ja	0.0
ＦＡＱ	ja	0.0
ＨＩＶ	ja	-1.0
ＨＩＶ感染	ja	-1.0
ＨＰ	ja	0.0
ＨＴＭＬ	ja	0.0
ＩＴ化	ja	0.0
ＩＴ投資	ja	0.0
ＫＯ	ja	1.0
ＭＲＳＡ	ja	0.0
ＮＧ	ja	-1.0
ＯＫ	ja	0.0
ＯＬ	ja	0.0
ＯＰＡＣ	ja	0.0
ＰＭＳ	ja	-1.0
ＰＲ	ja	0.0
ＰＴＳＤ	ja	-1.0
Ｑ＆Ａ	ja	0.0
ＲＡＭ	ja	0.0
ＲＦＣ	ja	0.0
ＲＳＳ	ja	0.0
ＳＡＲＳ	ja	-1.0
ＳＥ	ja	0.0
ＳＰＡＭ	ja	0.0
ＳＱＬ	ja	0.0
ＳＳ	ja	0.0
ＴＫＯ	ja	-1.0
Ｖｅｃｔｏｒ	ja	0.0
ＷＷＥ	ja	0.0
Ｗｅｂ検索	ja	0.0
Ｗｉｎｎｙ	ja	0.0
ｃｏｒｅ	ja	0.0
ｅｎｄ	ja	0.0
ｈｔｍｌ	ja	0.0
ｈｔｔｐ	ja	0.0
ｔｘｔ	ja	0.0
あいさつ	ja	0.0
あいだ	ja	0.0
あいつら	ja	0.0
あいまい	ja	-1.0
あいまいさ	ja	0.0
あえぎ	ja	0.0
あかし	ja	0.0
あからさま	ja	-1.0
あきらめ	ja	-1.0
あく	ja	0.0
あく抜け	ja	1.0
あこがれ	ja	1.0
あご	ja	0.0
あざやか	ja	1.0
あし	ja	0.0
あせも	ja	-1.0
あたしたち	ja	0.0
